id,query,query_type,difficulty,expected_sources,expected_pages,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,mrr,latency_ms,top1_source,top1_page,top1_bm25_score
Q020,"Which two-component Mapei cementitious waterproofing mortar is intended for balconies, terraces, swimming pools and damp environments?",application,medium,cementitious-membranes-for-balconies-and-terraces.pdf,5,1,1,1,1,1.0,2.735,cementitious-membranes-for-balconies-and-terraces.pdf,5,52.2294
Q021,What minimum final waterproofing thickness is recommended when applying the Mapelastic system over existing terrace or flat-roof flooring?,numerical,medium,cementitious-membranes-for-balconies-and-terraces.pdf,8,1,1,1,1,1.0,4.219,cementitious-membranes-for-balconies-and-terraces.pdf,8,22.2082
Q022,What is the thermal conductivity of fermacell fibre gypsum board?,numerical,easy,fer-090-00032_9172-GB Specification Guide.pdf,6,2,0,1,1,0.5,1.631,fer-090-00032_9172-GB Specification Guide.pdf,7,17.2594
Q023,What materials are used to make fermacell fibre gypsum board?,technical_property,medium,fer-090-00032_9172-GB Specification Guide.pdf,6,,0,0,0,0.0,4.806,fer-090-00032_9172-GB Specification Guide.pdf,3,15.3354
Q024,Which fermacell board complies with the highest European building material class A1?,exact_keyword,medium,fer-090-00032_9172-GB Specification Guide.pdf,7,1,1,1,1,1.0,3.351,fer-090-00032_9172-GB Specification Guide.pdf,7,30.4296
Q025,What lambda value is given for ROCKWOOL Thermal Cavity Slab 32?,numerical,easy,merchant-trade-application-guide.pdf,4,1,1,1,1,1.0,3.075,merchant-trade-application-guide.pdf,4,26.9557
Q026,What U-value is shown for the 150 mm ROCKWOOL Cavity Slab 32 full-fill masonry cavity wall solution?,numerical,medium,merchant-trade-application-guide.pdf,28,2,0,1,1,0.5,2.968,merchant-trade-application-guide.pdf,26,36.4894
Q027,What airborne sound reduction is listed for the ROCKWOOL timber stud internal partition wall using 50 mm Sound Insulation Slab?,technical_property,hard,merchant-trade-application-guide.pdf,36,1,1,1,1,1.0,6.925,merchant-trade-application-guide.pdf,36,41.2758
Q028,What drawing code is used for sealing of well pumping in the Mapei technical waterproofing guide?,exact_keyword,medium,technical-design-guide-for-waterproofing.pdf,4 | 5,4,0,0,1,0.25,2.521,technical-design-guide-for-waterproofing.pdf,3,24.3633
Q029,What drawing code is used for the front edge of a balcony with a ceramic sill in the Mapei technical waterproofing guide?,exact_keyword,medium,technical-design-guide-for-waterproofing.pdf,6,2,0,1,1,0.5,4.351,technical-design-guide-for-waterproofing.pdf,38,47.0858
Q030,What drawing code is used for a vertical drain when waterproofing over existing flooring in the repair section of the Mapei technical guide?,exact_keyword,hard,technical-design-guide-for-waterproofing.pdf,10,3,0,1,1,0.3333333333333333,7.206,technical-design-guide-for-waterproofing.pdf,62,36.4179
